id,name
R-HSA-75893,TNF signaling
R-HSA-5668541,TNFR2 non-canonical NF-kB pathway
R-HSA-75158,TRAIL  signaling
R-HSA-9033500,TYSND1 cleaves peroxisomal proteins
R-HSA-1296346,Tandem pore domain potassium channels
R-HSA-157579,Telomere Maintenance
R-HSA-2453902,The canonical retinoid cycle in rods (twilight vision)
R-HSA-2514856,The phototransduction cascade
R-HSA-2187335,The retinoid cycle in cones (daylight vision)
R-HSA-8849175,Threonine catabolism
R-HSA-456926,Thrombin signalling through proteinase activated receptors (PARs)
R-HSA-210993,Tie2 Signaling
R-HSA-168898,Toll-like Receptor Cascades
R-HSA-6781827,Transcription-Coupled Nucleotide Excision Repair (TC-NER)
R-HSA-2151201,Transcriptional activation of mitochondrial biogenesis
R-HSA-5578749,Transcriptional regulation by small RNAs
R-HSA-917977,Transferrin endocytosis and recycling
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template
R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
R-HSA-72202,Transport of Mature Transcript to Cytoplasm
R-HSA-425366,"Transport of bile salts and organic acids, metal ions and amine compounds"
R-HSA-432030,Transport of glycerol from adipocytes to the liver by Aquaporins
R-HSA-425393,Transport of inorganic cations/anions and amino acids/oligopeptides
R-HSA-425397,"Transport of vitamins, nucleosides, and related molecules"
R-HSA-8979227,Triglyceride metabolism
R-HSA-450513,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA"
R-HSA-71240,Tryptophan catabolism
R-HSA-446107,Type I hemidesmosome assembly
R-HSA-381119,Unfolded Protein Response (UPR)
R-HSA-5339562,Uptake and actions of bacterial toxins
R-HSA-70635,Urea cycle
R-HSA-432040,Vasopressin regulates renal water homeostasis via Aquaporins
R-HSA-1296072,Voltage gated Potassium channels
R-HSA-3238698,WNT ligand biogenesis and trafficking
R-HSA-203615,eNOS activation
R-HSA-72187,mRNA 3'-end processing
R-HSA-75064,mRNA Editing: A to I Conversion
R-HSA-72200,mRNA Editing: C to U Conversion
R-HSA-72172,mRNA Splicing
R-HSA-429958,mRNA decay by 3' to 5' exoribonuclease
R-HSA-430039,mRNA decay by 5' to 3' exoribonuclease
R-HSA-166208,mTORC1-mediated signalling
R-HSA-372708,p130Cas linkage to MAPK signaling for integrins
R-HSA-193704,p75 NTR receptor-mediated signalling
R-HSA-8868766,rRNA processing in the mitochondrion
R-HSA-8868773,rRNA processing in the nucleus and cytosol
R-HSA-191859,snRNP Assembly
R-HSA-379724,tRNA Aminoacylation
R-HSA-6787450,tRNA modification in the mitochondrion
R-HSA-6782315,tRNA modification in the nucleus and cytosol
R-HSA-6785470,tRNA processing in the mitochondrion
R-HSA-6784531,tRNA processing in the nucleus
R-HSA-9708296,"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis"
R-HSA-199992,trans-Golgi Network Vesicle Budding
